,Donor_Id,P_year,Frequency
0,b'0000019',1,1.0
0,b'0000020',158,11.0
0,b'0000035',155,10.0
0,b'0000042',85,9.0
0,b'0000043',229,21.0
0,b'0000060',76,11.0
0,b'0000072',59,4.0
0,b'0000081',171,12.0
0,b'0000089',157,10.0
0,b'0000091',117,11.0
0,b'0000093',1,1.0
0,b'0000100',160,11.0
0,b'0000104',1,1.0
0,b'0000105',54,4.0
0,b'0000109',37,3.0
0,b'0000113',53,4.0
0,b'0000114',23,2.0
0,b'0000115',156,10.0
0,b'0000120',15,2.0
0,b'0000131',57,4.0
0,b'0000133',2,2.0
0,b'0000137',3,3.0
0,b'0000148',11,3.0
0,b'0000149',5,5.0
0,b'0000156',111,11.0
0,b'0000157',48,10.0
0,b'0000159',156,10.0
0,b'0000165',310,21.0
0,b'0000169',155,10.0
0,b'0000174',157,10.0
0,b'0000175',1,1.0
0,b'0000185',1,1.0
0,b'0000186',2,2.0
0,b'0000188',76,5.0
0,b'0000189',1,1.0
0,b'0000194',4,4.0
0,b'0000199',290,19.0
0,b'0000202',156,10.0
0,b'0000203',161,11.0
0,b'0000208',43,3.0
0,b'0000210',156,10.0
0,b'0000224',253,17.0
0,b'0000227',155,10.0
0,b'0000236',158,11.0
0,b'0000238',312,22.0
0,b'0000239',159,11.0
0,b'0000246',160,11.0
0,b'0000249',127,11.0
0,b'0000254',1,1.0
0,b'0000259',1,1.0
0,b'0000267',344,23.0
0,b'0000270',154,10.0
0,b'0000283',43,9.0
0,b'0000287',59,4.0
0,b'0000294',50,10.0
0,b'0000300',157,10.0
0,b'0000304',156,10.0
0,b'0000306',155,10.0
0,b'0000320',142,9.0
0,b'0000329',19,1.0
0,b'0000330',1,1.0
0,b'0000346',311,21.0
0,b'0000356',7,7.0
0,b'0000359',69,10.0
0,b'0000363',54,4.0
0,b'0000364',2,2.0
0,b'0000379',101,10.0
0,b'0000380',153,10.0
0,b'0000381',156,10.0
0,b'0000388',60,5.0
0,b'0000389',1,1.0
0,b'0000390',2,2.0
0,b'0000392',20,1.0
0,b'0000394',92,10.0
0,b'0000399',1,1.0
0,b'0000403',1,1.0
0,b'0000405',158,11.0
0,b'0000409',53,5.0
0,b'0000418',160,11.0
0,b'0000434',318,29.0
0,b'0000438',158,11.0
0,b'0000441',64,5.0
0,b'0000442',88,6.0
0,b'0000447',53,4.0
0,b'0000448',1,1.0
0,b'0000451',155,11.0
0,b'0000453',1,1.0
0,b'0000460',25,2.0
0,b'0000463',1,1.0
0,b'0000467',2,2.0
0,b'0000477',60,4.0
0,b'0000478',2,2.0
0,b'0000479',4,2.0
0,b'0000490',40,3.0
0,b'0000499',1,1.0
0,b'0000504',84,10.0
0,b'0000509',3,3.0
0,b'0000513',156,10.0
0,b'0000515',310,21.0
0,b'0000521',23,3.0
0,b'0000524',44,4.0
0,b'0000537',50,4.0
0,b'0000546',312,21.0
0,b'0000565',27,2.0
0,b'0000569',25,2.0
0,b'0000570',128,11.0
0,b'0000577',1,1.0
0,b'0000581',1,1.0
0,b'0000584',52,9.0
0,b'0000591',62,16.0
0,b'0000595',162,11.0
0,b'0000596',87,9.0
0,b'0000607',1,1.0
0,b'0000609',158,11.0
0,b'0000612',156,10.0
0,b'0000613',54,4.0
0,b'0000615',2,2.0
0,b'0000616',32,3.0
0,b'0000630',157,10.0
0,b'0000636',55,4.0
0,b'0000640',156,11.0
0,b'0000643',33,2.0
0,b'0000645',156,10.0
0,b'0000652',11,6.0
0,b'0000658',14,2.0
0,b'0000660',33,3.0
0,b'0000665',159,20.0
0,b'0000670',27,2.0
0,b'0000673',1,1.0
0,b'0000675',101,17.0
0,b'0000680',5,2.0
0,b'0000688',23,3.0
0,b'0000699',161,11.0
0,b'0000701',58,4.0
0,b'0000710',2,2.0
